X,Y,OBJECTID,FACILITY_STATUS,STATUS_NOTE,NAME,CAD_NAME,AKA,TYPE,UNIT,CDF_UNIT,COUNTY,OWNER,FUNDING,STAFFING,ADDRESS,CITY,ZIP,PHONE_NUM,LAT,LON
-13056139.63,4050323.5872,83,Decommissioned,No longer present within BDU.,San Bernardino FLS,SFM,,SFM,BDU,BDU,San Bernardino,STATE,,,3800 N Sierra Way,San Bernardino,92405,,34.16012773,-117.28529781
-13090973.3485,4254779.5325,84,Active,,Lone Butte,,,COM,BDU,BDU,San Bernardino,,,,,,,,35.66614053,-117.59821443
-13574805.2323,4381997.3469,85,Active,,Pebble Beach FS,BEU Pebble Beach FS,#22,FSA,BEU,BEU,Monterey,FIRE DISTRICT,A,P,3101-B Forest Lake Rd,Pebble Beach,93953,831-375-4204,36.5891745,-121.94453718
-13571411.0637,4379869.0787,86,Active,,Carmel Hill FFS,BEU Carmel Hill FS,#28,FSAB,BEU,BEU,Monterey,STATE,C,P,4180 17 Mile Drive,Pebble Beach,93953-9562,831-625-6415,36.5738221,-121.91404685
-13570657.5801,4375128.2412,87,Active,,Rio Road FS,BEU Rio Road FS,#25,FSA,BEU,BEU,Monterey,FIRE DISTRICT,A,P,3775 Rio Road,Carmel,93923-8604,831-624-4511,36.53961281,-121.90727819
-13573892.8096,4370280.0435,88,Active,,Carmel Highlands FS,BEU Carmel Highlands FS,#21,FSA,BEU,BEU,Monterey,FIRE DISTRICT,A,P,73 Fern Cyn Rd,Carmel,93923,831-624-2374,36.50461317,-121.93634076
-13541011.085,4422324.0013,89,Active,,Aromas FS,BEU Aromas FS,#35,FSAB,BEU,BEU,Monterey,FIRE DISTRICT,C,P,492 Carpenteria Rd,Aromas,95004-9613,831-726-3130,36.87949563,-121.6409592
-13510029.796,4417263.7336,90,Active,,Hollister FS,BEU Hollister FS,#36,FSB,BEU,BEU,San Benito,STATE,B,P,1979 Fairview Road,Hollister,95023-9724,831-637-4474,36.8431258,-121.3626496
-13472904.7389,4389559.3091,91,Active,,Antelope FS,BEU Antelope FS,#38,FSB,BEU,BEU,San Benito,STATE,B,P,20400 Panoche Road,Paicines,95043-9706,831-628-3269,36.6436984,-121.02914961
-13490352.4937,4379518.027,92,Active,,Bear Valley FS,BEU Bear Valley FS,#47,FSB,BEU,BEU,San Benito,STATE,B,P,25820 Airline Hwy,Paicinas,95043-9702,831-389-4591,36.57128943,-121.18588544
-13512093.7096,4364302.3301,93,Active,,Gonzales FS,BEU Gonzales FS,#33,FSB,BEU,BEU,Monterey,STATE,B,P,31801 Mccoy Road,Soledad,93960,831-678-3341,36.4614376,-121.38119008
-13546012.0076,4362207.9322,94,Active,,Tularcitos FS,BEU Tularcitos FS,#23,FSB,BEU,BEU,Monterey,STATE,B,P,16650 Cachagua Rd,Carmel Valley,93923,831-659-2626,36.44630461,-121.68588329
-13462400.7449,4354437.7574,95,Active,,Beaver Dam FS,BEU Beaver Dam FS,#48,FSB,BEU,BEU,San Benito,STATE,B,P,5300 Hernandez-Coalinga Road,Paicines,95023-9705,831-385-5722,36.39013563,-120.93479066
-13484209.4547,4328973.5533,96,Active,,King City FS,BEU King City FS,#30,FSB,BEU,BEU,Monterey,STATE,B,P,743 Reich Street,King City,93930-3434,831-385-6437,36.20577585,-121.13070162
-13481575.1887,4291994.3669,97,Active,,Lockwood FS,BEU Lockwood FS,#42,FSB,BEU,BEU,Monterey,STATE,B,P,67820 Jolon Road,Lockwood,93932-0182,831-385-4443,35.93727325,-121.10703764
-13406580.4984,4286726.3026,98,Active,,Parkfield FS,BEU Parkfield FS,#41,FSB,BEU,BEU,Monterey,STATE,B,P,70578 Coalinga-Parkfield Road,San Miguel,93451-9605,805-463-2330,35.89894771,-120.43334899
-13447747.9495,4281895.8827,99,Active,,Bradley FS,BEU Bradley FS,#40,FSB,BEU,BEU,Monterey,STATE,B,P,65789 Bradley Road,Bradley,93426-0028,805-472-2244,35.86378982,-120.80316244
-13512314.7697,4364605.5267,100,Active,,Gabilan CC,BEU Gabilan CC,#39,CC,BEU,BEU,Monterey,STATE,B,P,31801 Mccoy Road,Soledad,93960,831-678-0609,36.46362809,-121.3831759
-13514287.6917,4423374.4655,101,Active,,Hollister AAB,BEU Hollister AAB,,AAB,BEU,BEU,San Benito,STATE,B,P,2300 San Felipe Rd,Hollister,95024-0741,831-637-5456,36.88704348,-121.40089891
-13514382.5974,4423068.1307,102,Active,,Hollister HB,BEU Hollister HB,,HB,BEU,BEU,San Benito,STATE,B,P,2300 San Felipe Road,Hollister,95024-0741,831-637-5456,36.887,-121.401
-13565300.1107,4381740.4151,103,Active,,San Benito-Monterey ECC,BEU San Benito-Monterey ECC,,ECC,BEU,BEU,Monterey,STATE,B,P,2221 Garden Road,Monterey,93940-5385,831-647-6241,36.58732126,-121.85915123
-13565285.5385,4381638.6247,104,Active,,San Benito-Monterey UH,BEU San Benito-Monterey UH,,HQ,BEU,BEU,Monterey,STATE,C,P,2221 Garden Road,Monterey,93940-5317,831-333-4600,36.58658704,-121.85902033
-13469840.4905,4293971.6448,105,Active,,Calandra COM/LO,BEU Calandra COM/LO,,COM/LO,BEU,BEU,Monterey,STATE,B,P,6 Mi E Of Lockwood Fs,,,,35.95165327,-121.00162307
-13477309.7436,4386153.553,106,Active,,Call Mountain COM/LO,BEU Call Mountain COM/LO,,COM/LO,BEU,BEU,San Benito,STATE,B,P,2.7 Mi Sw Of Antelope Fs,,,,36.61914667,-121.06872043
-13453616.7647,4353384.0712,107,Active,,Hernandez Mountain COM,BEU Hernandez Mountain COM,,COM,BEU,BEU,San Benito,STATE,B,P,4.5 Mi E Of Beaver Dam Fs,,,,36.38251562,-120.85588284
-13524438.2488,4356528.5966,108,Active,,Palo Escrito Peak COM,BEU Palo Escrito Peak COM,,COM,BEU,BEU,Monterey,STATE,B,P,9 Mi W Of Soledad,,,,36.40525389,-121.49208296
-13424672.3906,4311467.984,109,Active,,Smith Mountain COM/LO,BEU Smith Mountain COM/LO,,COM/LO,BEU,BEU,Monterey,STATE,B,P,15 Mi Nw Of Parkfield Fs ,,,,36.07878368,-120.59587117
-13506127.6505,4359638.8043,110,Active,,Soledad FS,BEU Soledad FS,#37,FSA,BEU,BEU,Monterey,CITY,A,P,525 Monterey St,Soledad,93960,831-678-5100,36.42773741,-121.32759607
-13538196.3935,4373973.0062,111,Active,,Mt Toro COM,CZU Mt Toro COM,Tone 9,COM,CZU,BEU,Monterey,STATE,B,P,Po Drawer F-2,Felton,95018,,36.53127447,-121.61567444
-13569741.7702,4342712.4812,112,Active,,Pt. Sur COM,BEU Pt. Sur COM,,COM,BEU,BEU,Monterey,STATE,B,P,13.5 Mi S Carmel Highlands Fs,,,,36.3052993,-121.89905136
-13524321.4548,4405733.0195,113,Active,,School Peak COM,BEU School Peak,,COM,BEU,BEU,Monterey,STATE,B,P,San Juan Canyon Rd,San Juan Bautista,95045,,36.76018614,-121.49103374
-13566687.2749,4344241.5204,114,Active,,Little River Hill COM,BEU Little River Hill COM,,COM,BEU,BEU,Monterey,STATE,B,P,13.5 Mi S Carmel Highlands Fs,,,,36.31636766,-121.87161237
-13525588.6374,4405161.832,115,Active,,Fremont Peak COM,BEU Fremont Peak COM,,COM,BEU,BEU,Monterey,COUNTY,B,P,San Juan Canyon Road,6 miles South of San Juan Bautista,95045,,36.7560753,-121.50241703
-13572328.6858,4381558.6151,116,Active,,Huckleberry COM,BEU Huckleberry Com,,COM,BEU,BEU,Monterey,FIRE DISTRICT,A,P,4041 Sun Set Ln,Pebble Beach,93953,,36.58600993,-121.92228999
-13458905.6905,4303607.178,117,Active,,San Ardo FS,BEU San Ardo FS,#44,FSA,BEU,BEU,Monterey,FIRE DISTRICT,A,V,62180 Railroad Rd,San Ardo,93450,,36.02169153,-120.9033941
-13486473.7796,4325547.8897,118,Active,,Pine Canyon FS,BEU Pine Canyon FS,#31,FSA,BEU,BEU,Monterey,FIRE DISTRICT,A,V,51251 Pine Canyon Rd,King City,93927,831-385-9314,36.18094095,-121.1510424
-13517850.5826,4334577.9094,119,Active,,Arroyo Seco FS,BEU Arroyo Saco FS,#32,FSA,BEU,BEU,Monterey,FIRE DISTRICT,A,V,46700 Arroyo Seco Rd,Greenfield,93927,831-674-2326,36.24638856,-121.43290497
-13571643.9826,4370071.2769,120,Active,,Corona COM,BEU Corona COM,,COM,BEU,BEU,Montetey,FIRE DISTRICT,A,P,175 Corona Rd,Carmel,93923,,36.5031057,-121.9161392
-13504302.9402,4337104.4528,121,Active,,Pettits Peak COM,BEU Pettits Peak COM,,COM,BEU,BEU,Monterey,STATE,,,@ 9 Miles Sw Of Greenfield,Greenfield,93927,,36.26469547,-121.31121733
-13512240.9769,4364431.1761,122,Active,,CNA Headquarters,CNA 46A,,CNA,CNA,BEU,Monterey,FEDERAL,F,P,31951 Mccoy Road,Soledad,93960,,36.46237338,-121.38252592
-13535576.3301,4839749.5295,123,Active,,Upper Ridge FS,BTC Upper Ridge FS,Station 33,FSA,BTC,BTU,Butte,COUNTY,A,P,14164 Skyway,Magalia,95954,530-872-6323,39.81951176,-121.59213762
-13560516.4399,4824904.7077,124,Active,,South Chico FS,BTC South Chico FS,Station 44,FSA,BTC,BTU,Butte,COUNTY,A,P,2344 Fair St,Chico,95928,530-891-2787,39.71701141,-121.81617842
-13558742.7211,4814294.9176,125,Active,,Durham FS,BTC Durham FS,Station 45,FSA,BTC,BTU,Butte,COUNTY,A,C,2367 Campbell St,Durham,95938,530-891-2788,39.64365956,-121.80024484
-13515157.4598,4777747.8852,126,Active,,Bangor FS,BTC Bangor FS,Station 55,FSB,BTU,BTU,Butte,COUNTY,B,C,7540 Oro Bangor Hwy,Bangor,95914,530-679-2411,39.39039192,-121.40871187
-13530391.9054,4784261.5813,127,Active,,Palermo FS,BTC Palermo FS,Station 72,FSA,BTC,BTU,Butte,COUNTY,A,P,2290 Palermo Rd,Palermo,95968,530-538-7565,39.43559886,-121.5455652
